Serial Number,Name,UUID,Hash
TEAM BEVEL,,,
1,adewale-the-amebo,cad316c3-37f8-4b27-9f53-9d803bfcfee7,f8d83da17db57762c57d90e1b3b8fabcae298a34aeba67337773c6b5358b4465
2,alli-the-queeny,a57ecda4-a26f-4e97-a757-e1800af39aab,e9d23c3b22776cce47ba0f8652357473c5db8440f389384b4eff16cbe30b1588
3,aminat-the-snnobish,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,3d67ac92e672968f40c66eb30fb5b28c3b07952b7e2ca11d2608beaff583b1b2
4,aminu-the-carpenter,4f30b751-96e7-40fe-97fd-e3d44973ff2f,00849028ccdd3ff1f54fecebc103cd9dc03b9bbfd8cdf8e76fef0adb6edd603f
5,chibuike-the-kudibag,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,eb6be34856a3733c8fcd5333daa236705d04d43656ee0a49de1b6edd9b13fcc8
6,chidinma-the-model,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,237441e1953b8ccb60fb3af55e2eda4eb133b5538274503244c82159b29c9eae
7,chioma-pretty- girl,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,d5c2c5e2ce0b62cf649887b9da478e3578c94af6244967f941ef1add3421a857
8,damilare-the-handsome,27eca2dc-d7df-474a-8f8f-1858152c711e,3f2e0c337eb59f15a47df662738f9a09c633d70e36d3146261fc50e2a42f7761
9,ebiowie-the-planter,f1df8270-4d60-4bd4-8959-ba7c384db5c4,e32d3eba309d7bdebffd32f3a9462bffc918b2772f0ca4875cc3f72e86a9a245
10,emeka-the-businessman,9b3d75da-4887-4089-aee4-50de3954fdc9,9a586a7d5d0aad0cf45bebb43c3fd954b19fe884a0ed0be4350b11ab2e198ad4
11,gbeminyi-the-monk,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,29040b83368e64099776041a59c55cbde7698437fc819ea4880064cce9b62500
12,henry-the-sportsman,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,ba800d78016567ef7e3e43b9fbec54852a0075daf6c33ffd5bb4a35eef33bf6f
13,mayowa-the-smallie,dfbb4163-df24-4d54-b74c-6218a68df8bd,195c3194a7cdda1508c45440aeedb9b3805b264d86d020a2594e6a965fbd0948
